attack	attack_cost	attack_text	back_flavor	back_link	back_name	back_text	back_traits	base_threat	base_threat_fixed	boost	boost text	boost_text	card_set_code	code	cost	deck_limit	deck_options	deck_requirements	defense	double_sided	duplicate_of	escalation_threat	escalation_threat_fixed	faction_code	flavor	hand_size	health	health_per_hero	hidden	illustrator	is_unique	name	octgn_id	pack_code	pack_name	permanent	position	quantity	recover	resource_energy	resource_mental	resource_physical	resource_wild	schema_text	scheme	scheme text	scheme_acceleration	scheme_amplify	scheme_boost	scheme_crisis	scheme_hazard	scheme_text	set_code	set_name	set_position	spoiler	stage	subname	text	threat	threat_fixed	thwart	thwart_cost	traits	type_code
2				01001b										01001a		1			3					hero	"Just your friendly neighborhood Spider-Man!"	5	10				True	Spider-Man	18ae183c-de26-4369-8a41-424d58f01631	core	Core Set		1	1															spider_man	Spider-Man					Spider-Sense — <b>Interrupt</b>: When the villain initiates an attack against you, draw 1 card.			1		Avenger.	hero
														01001b		1								hero	"Right now, I'd trade the whole Spider-Man bit for a rocking chair and a good book."	6	10		True		True	Peter Parker	18ae183c-de26-4369-8a41-424d58f01631	core	Core Set		1	1	3														spider_man	Spider-Man					Scientist — <b>Resource</b>: Generate a [mental] resource. (Limit once per round.)					Genius.	alter_ego
1														01002	2	1								hero	"I'm not a hero, I'm a thief."		2				True	Black Cat	471e5531-48c9-4b6c-8417-7158b81f4287	core	Core Set		2	1		1													spider_man	Spider-Man	1			Felicia Hardy	<b>Forced Response</b>: After you play Black Cat, discard the top 2 cards of your deck. Add each card with a printed [mental] resource discarded this way to your hand.			1	1	Hero For Hire.	ally
														01003	0	2								hero	"Have you been training? 'Cause that almost hit me." — Spider-Man							Backflip	942a87e3-0ab3-4544-85ff-473cfdf622ba	core	Core Set		3	2				1											spider_man	Spider-Man	2				<b>Interrupt</b> <i>(defense)</i>: When you would take any amount of damage from an attack, prevent all of that damage.					Defense. Skill.	event
														01004	1	2								hero	"My spider-sense is tingling!" — Spider-Man							Enhanced Spider-Sense	816c6c4a-0745-4610-81f5-29dc97865873	core	Core Set		4	2			1												spider_man	Spider-Man	4				<b>Hero Interrupt</b>: When a treachery card is revealed from the encounter deck, cancel its "<b>When Revealed</b>" effects.					Superpower.	event
														01005	3	3								hero	"Tally-ho!" — Spider-Man							Swinging Web Kick	933069ad-ebd7-4813-a058-4729d1db1ca7	core	Core Set		5	3			1												spider_man	Spider-Man	6				<b>Hero Action</b> <i>(attack)</i>: Deal 8 damage to an enemy.					Aerial. Attack. Superpower.	event
														01006	1	1								hero	"Goodness, Peter! You've been so clumsy lately."						True	Aunt May	880a92cd-9a2b-4ed6-b283-6f7d98ca6fc7	core	Core Set		6	1		1													spider_man	Spider-Man	9				<b>Alter-Ego Action</b>: Exhaust Aunt May → heal 4 damage from Peter Parker.					Persona.	support
														01007	1	2								hero								Spider-Tracer	feead700-3e37-4ecb-9f14-15a17a6f0d70	core	Core Set		7	2		1													spider_man	Spider-Man	10				Attach to a minion.\n<b>Forced Interrupt</b>: When attached minion is defeated, remove 3 threat from a scheme.					Item. Tech.	upgrade
														01008	1	2								hero								Web-Shooter	ab2d0f0d-5df7-4269-876d-99fe1f1d25d4	core	Core Set		8	2				1											spider_man	Spider-Man	12				Uses (3 web counters). <i>(Enters play with 3 counters. When those are gone, discard this card)</i>\n<b>Hero Resource</b>: Exhaust Web-Shooter and remove 1 web counter from it → generate a [wild] resource.					Item. Tech.	upgrade
														01009	4	2								hero								Webbed Up	6bd78cc3-bc7f-4382-b063-5d69a70a0cdc	core	Core Set		9	2				1											spider_man	Spider-Man	14				Hero form only. Attach to an enemy. Max 1 per enemy.\n<b>Forced Interrupt</b>: When attached enemy would attack, discard Webbed Up instead. Then, stun that enemy.					Condition.	upgrade
